Bone-Wrought Coffer of the Damned,147294
Coffer of Twin Faiths,147301
Deepwood Ranger's Quiver,147297
Demonslayer's Soul-Sealed Satchel,147295
Giant Elemental's Closed Stone Fist,147303
Hand-Carved Jade Puzzle Box,147299
Hollow Skeleton Key,147302
Light-Bound Reliquary,147300
Living Root-Bound Cache,147296
Pocket Keystone to Abandoned World,147304
Purified Titan Essence,157796
Spell-Secured Pocket of Infinite Depths,147298
Stalwart Champion's War Chest,147305
Bracers of the Demonic Gladiator,149440
Chest of the Demonic Gladiator,149434
Cinch of the Demonic Gladiator,149438
Cloak of the Demonic Gladiator,149441
Gloves of the Demonic Gladiator,149437
Helm of the Demonic Gladiator,149433
Leggings of the Demonic Gladiator,149435
Pauldrons of the Demonic Gladiator,149436
Treads of the Demonic Gladiator,149439
7.2 QA Functionality Test Relic - Not For Playtesting - Bronze 1 +3,144446
7.2 QA Functionality Test Relic - Not For Playtesting - Bronze 2 +3,144447
7.2 QA Functionality Test Relic - Not For Playtesting - Bronze 3 +3,144448
7.2 QA Functionality Test Relic - Not For Playtesting - Bronze 4 +3,144449
7.2 QA Functionality Test Relic - Not For Playtesting - Bronze 5 +3,144450
7.2 QA Functionality Test Relic - Not For Playtesting - Bronze 6 +3,144451
7.2 QA Functionality Test Relic - Not For Playtesting - Bronze 7 +3,144452
7.2 QA Functionality Test Relic - Not For Playtesting - Bronze 8 +3,144453
7.2 QA Functionality Test Relic - Not For Playtesting - Bronze 9 +3,144454
Soulcutter Mageblade,140534
7.3 Raid - Antorus - Boss 11 - Trinket All WS,152702
7.3 Raid - Antorus - Boss 11 - Trinket Healer WS,151959
7.3 Raid - Antorus - Boss 11 - Trinket Melee Agi WS,152701
7.3 Raid - Antorus - Boss 11 - Trinket Melee Str WS,152285
7.3 Raid - Antorus - Boss 11 - Trinket Ranged WS,152288
7.3 Raid - Antorus - Boss 11 - Trinket Tank WS,152287
Aggramar's Conviction,154173
Bracers of the Dominant Gladiator,149422
Chain of the Unmaker,152283
Chest of the Dominant Gladiator,149416
Cinch of the Dominant Gladiator,149420
Cloak of the Dominant Gladiator,149423
Cosmos-Culling Legplates,152016
Death-Enveloping Cincture,151986
Eonar's Compassion,154175
Gambeson of Sargeras' Corruption,152679
Gloves of the Dominant Gladiator,149419
Golganneth's Vitality,154174
Handwraps of Inevitable Doom,152680
Helm of the Awakened Soul,152423
Helm of the Dominant Gladiator,149415
Khaz'goroth's Courage,154176
Leggings of the Dominant Gladiator,149417
Nascent Deathbringer's Clutches,152686
Norgannon's Prowess,154177
Pauldrons of Colossal Burden,152005
Pauldrons of the Dominant Gladiator,149418
Sullied Seal of the Pantheon,151972
Treads of the Dominant Gladiator,149421
Vest of Waning Life,151982
Accursed Defiler's Mantle,152354
Acrid Catalyst Injector,151955
Apocalypse Drive,151975
Aranasi Shadow-Weaver's Gloves,151941
Band of the Sargerite Smith,152064
Battalion-Shattering Leggings,152002
Bearmantle Cloak,152125
Bearmantle Harness,152124
Bearmantle Headdress,152127
Bearmantle Legguards,152128
Bearmantle Paws,152126
Bearmantle Shoulders,152129
Belt of Fractured Sanity,151991
Blazing Dreadsteed Horseshoe,152035
Blood-Drenched Bindings,151954
Bracers of Diabolic Fury,152365
Bracers of the Fierce Gladiator,149404
Bracers of Wanton Morality,152414
Breach-Blocker Legguards,151987
Breastplate of Molten Rebirth,152018
Breastplate of Terminal End,152378
Burning Coven Sabatons,152010
Carafe of Searing Light,151960
Caustic Titanspite Legguards,152282
Cavalier Hat of the Dashing Scoundrel,152163
Censer of Dark Intent,152290
Chest of the Fierce Gladiator,149398
Cinch of Detestable Guile,152364
Cinch of the Fierce Gladiator,149402
Cloak of Chi'Ji,152143
Cloak of the Burning Vanguard,151937
Cloak of the Dashing Scoundrel,152161
Cloak of the Fierce Gladiator,149405
Collar of Null-Flame,151973
Conch of the Thunderer,155853
Condensed Blight Orb,155848
Cord of Blossoming Petals,151952
Cord of Surging Hysteria,151942
Corrupted Mantle of the Felseekers,153018
Corrupting Dewclaw,152056
Coven Prayer Bead,152046
Crepuscular Skitterer Egg,152057
Crown of Burning Resolve,152376
Crown of Relentless Annihilation,151943
Cruor of the Avenger,155847
Cuffs of the Viridian Flameweavers,152085
Decimator Crankshaft,152048
Deft Soulhunter's Sabatons,151996
Depraved Machinist's Footpads,152412
Depraved Tactician's Waistguard,152006
